Rank       Bot                       Rating     Prog       Games     
1          ResoluteBot               2197       1          1519      
2          TheFreshman1902           2194       -3         257       
3          ToromBot                  2181       2          930       
4          YoBot_v2                  2175       -3         2913      
5          Intron014                 2170       3          187       
6          ReinforcementTrial        2154       -8         275       
7          faith_bot                 2106       8          1660      
8          RaspFish                  2075       11         1387      
9          MrChessTheBot             1865       -15        397       
10         OpeningsBot               1757       -8         1501      
11         Cheng-4                   1745       3          1432      
12         Leela8-Test               1610       17         97        
13         FataliiBot                1455       -3         4707      
14         kazakhfirstbot            1411       135        15        
15         botTideEval               875        -14        87        
16         pawnrobot                 695        -18        679       
