Rank       Bot                       Rating     Prog       Games     
1          ReinforcementTrial        2618       6          42        
2          ProteusSF-Godot           2600       1          274       
3          YoBot_v2                  2596       7          500       
4          ResoluteBot               2587       -2         643       
5          Shineshou90_BOT           2584       -2         286       
6          Mr_Chess_Berserk          2583       -3         39        
7          RaspFish                  2573       0          559       
8          HansNiemannBot            2567       20         277       
9          ArasanX                   2557       -1         147       
10         Nikitosik-ai              2520       1          98        
11         ELO_1500                  2419       0          258       
12         FrozenightEngine          2382       -3         4307      
13         AKS-Mantissa              2380       -3         1034      
14         expositor                 2376       -2         1143      
15         LazyBot                   2354       32         202       
16         SaxtonEngine              2335       -10        464       
17         catriever                 2333       -8         260       
18         pawn_git                  2321       -27        230       
19         Cheng-4                   2285       -1         1543      
20         Weiawaga                  2253       1          5727      
21         FlamingDragon_9000        2238       -18        514       
22         Pseudo-0                  2128       -2         415       
23         Boris-Trapsky             2118       -5         10452     
24         TuksuBot                  2113       -19        989       
25         Phalanx-XXV               2082       -5         372       
26         simpleEval                2050       -11        1850      
27         bekbot                    2035       11         97        
28         honzovy-sachy-2           1994       -12        710       
29         Humaia-Strong             1990       17         233       
30         SimplerEval               1979       16         215       
31         eubos                     1972       5          730       
32         matmoi                    1965       69         21        
33         jangine                   1955       -2         287       
34         MaxtheDog                 1955       -1         185       
35         HistoryExplorer           1945       7          187       
36         GarboBot                  1937       6          1687      
37         Lynx_BOT                  1925       11         821       
38         camel_bot                 1916       5          51        
39         Elmichess                 1899       -7         417       
40         baby_eubos                1867       17         101       
41         likeawizard-bot           1847       151        31        
42         zeekat                    1838       13         3165      
43         LazyBotJr                 1831       -23        220       
44         LeelaRogue                1825       2          648       
45         Demolito_L6               1768       -63        32        
46         ChessChildren             1762       40         1194      
47         maia9                     1745       10         21452     
48         Demolito_L5               1737       -32        68        
49         Virutor                   1730       21         632       
50         notropis                  1689       73         118       
51         simplexitor               1681       63         127       
52         honzovy-sachy             1674       55         293       
53         sargon-4ply               1670       10         438       
54         turochamp-2ply            1634       -7         757       
55         ZE_ROOK                   1628       4          171       
56         turkjs                    1624       25         913       
57         chat_bot                  1591       34         44        
58         yeoldwiz                  1590       25         309       
59         sargon-3ply               1583       -35        753       
60         maia5                     1553       -3         23266     
61         StupidChessRobot          1543       54         21        
62         maia1                     1520       9          66035     
63         Trollfish-Bot             1497       -57        46        
64         Humaia                    1475       -12        1224      
65         sargon-2ply               1454       15         1223      
66         turochamp-1ply            1409       16         812       
67         kireevi                   1345       -39        243       
68         RoundMoundOfRebounds      1328       -21        121       
69         sargon-1ply               1284       -7         3369      
70         grandQ_AI                 851        -16        802       
71         BerserkRandomMover        832        -27        72        
