Rank       Bot                       Rating     Prog       Games     
1          M-Z_Bot                   2955       7          1021      
2          FireFishBOT_v2            2941       2          8395      
3          YoBot_v2                  2931       2          4410      
4          ToromBot                  2929       -13        5325      
5          ResoluteBot               2929       5          12583     
6          TheFreshman1902           2928       7          268       
7          ReinforcementTrial        2923       0          3460      
8          ProteusSF-Godot           2918       0          1502      
9          ProteusSF-Aureo           2907       -1         92        
10         caissa-x                  2905       5          3576      
11         RaspFish                  2882       10         13135     
12         Nikitosik-ai              2842       -14        1271      
13         blundar_bot               2823       -1         1648      
14         faith_bot                 2759       -5         821       
15         StockFish16_2023          2725       -21        182       
16         LazyBot                   2687       4          2053      
17         AKS-Mantissa              2616       5          10748     
18         FrozenightEngine          2612       10         6655      
19         expositor                 2605       1          7751      
20         MrChessTheBot             2542       -53        2009      
21         SaxtonEngine              2531       7          2641      
22         Cheng-4                   2518       33         6881      
23         pawn_git                  2502       -13        2883      
24         bot_adario                2499       -5         2605      
25         catriever                 2486       20         1123      
26         Weiawaga                  2486       -13        12354     
27         LTChessBot                2477       26         443       
28         TuksuBot                  2432       -2         4326      
29         Phalanx-XXV               2416       -2         2947      
30         OpeningsBot               2412       -7         1549      
31         Pseudo-0                  2408       13         3237      
32         odonata-bot               2406       18         6279      
33         admete_bot                2395       -7         6690      
34         fornax-engine             2361       24         6719      
35         FlamingDragon_9000        2323       19         3331      
36         simpleEval                2315       -10        15633     
37         bekbot                    2274       -1         1825      
38         Viceriever                2239       -6         389       
39         FataliiBot                2227       -6         7221      
40         halcyonbot                2216       -16        10821     
41         eubos                     2207       18         15344     
42         Nakshatra3                2198       -21        1884      
43         honzovy-sachy-2           2196       13         7291      
44         Lynx_BOT                  2165       2          51262     
45         matmoi                    2162       -4         2748      
46         jangine                   2090       10         3856      
47         redtail-zero              2086       -18        661       
48         Boris-Trapsky             2056       4          29474     
49         KelpBot                   2055       -60        22        
50         myopic-bot                2048       6          2611      
51         Elmichess                 2030       10         3729      
52         likeawizard-bot           2027       12         5096      
53         BLANK_BOT                 2024       10         5291      
54         MaxtheDog                 2023       -9         5358      
55         Humaia-Strong             2011       25         2372      
56         GarboBot                  2002       -1         9954      
57         LeelaRogue                1992       5          2404      
58         LazyBotJr                 1933       -21        1972      
59         sun_bird                  1914       17         1945      
60         zeekat                    1908       10         22588     
61         QuintBot                  1881       -8         10073     
62         zulu_bot                  1861       -3         992       
63         Demolito_L6               1855       -20        1779      
64         NatesBot                  1836       16         1662      
65         Trollfish-Bot             1794       -3         2784      
66         baby_eubos                1789       10         8831      
67         Dinora                    1784       17         400       
68         notropis                  1768       -14        7286      
69         ShallowRedBot             1736       -13        551       
70         honzovy-sachy             1733       3          5443      
71         LittleGreenManBot         1714       7          4667      
72         piglet_engine             1692       11         270       
73         QueensGamBOT              1664       -8         3311      
74         Demolito_L5               1662       -23        2558      
75         Virutor                   1660       -5         7807      
76         AshNostromo               1646       -22        1057      
77         Jibbby                    1639       -1         5976      
78         maia9                     1633       -11        105958    
79         ChessChildren             1628       15         21817     
80         simplexitor               1622       -6         2459      
81         ArduChessBot              1611       20         1478      
82         Dummyette                 1565       1          2778      
83         yeoldwiz                  1558       22         2002      
84         maia5                     1557       -17        105361    
85         turkjs                    1545       22         10466     
86         sudobot_chess             1539       -74        402       
87         HardRok                   1537       -23        1010      
88         sargon-4ply               1533       5          2200      
89         ZE_ROOK                   1531       -19        3323      
90         RoundMoundOfRebounds      1481       8          1445      
91         DavidsGuterBot            1464       14         3824      
92         sargon-3ply               1431       -17        2078      
93         turochamp-2ply            1408       0          1806      
94         Humaia                    1385       33         1003      
95         maia1                     1347       -9         213982    
96         monchester                1345       -27        2837      
97         GuineaBot3                1340       -58        162       
98         StupidChessRobot          1338       -8         2510      
99         sargon-1ply               1297       7          8562      
100        king-forward-bot          1248       -122       18        
101        sargon-2ply               1246       -4         3269      
102        pawnrobot                 1229       -29        2260      
103        dragobot                  1222       33         213       
104        chat_bot                  1222       -1         341       
105        turochamp-1ply            1221       -8         1930      
106        schnecken_bot             1124       -12        2364      
107        knucklefish               1051       -15        3412      
