Rank       Bot                       Rating     Prog       Games     
1          VariantsBot               2579       -1         579       
2          FireFishBOT               2385       6          56        
3          ToromBot                  2325       14         117       
4          Fairy_Belzedar            2315       13         49        
5          RaspFish                  2182       16         250       
6          faith_bot                 2026       73         24        
7          OpeningsBot               1854       28         55        
8          SimplerEval               1691       -29        97        
9          DavidsGuterBot            1476       -7         1741      
10         pawnrobot                 1178       -11        1830      
